.,Spanish
EventBoardAddSearchKitchen_3.button1,{qst:CONTINUE}
EventBoardAddExploreKitchen_1.button1,{qst:CONTINUE}
EventBoardAddDarknessKitchen.button1,{qst:CONTINUE}
EventExploreKitchen_1.button1,{qst:CONTINUE}
EventExploreKitchen_1_4.button1,{qst:CONTINUE}
EventExploreKitchen_1_1.button1,{qst:CONTINUE}
EventExploreKitchen_1_2.button1,{qst:CONTINUE}
EventExploreKitchen_1_3.button1,{qst:CONTINUE}
EventExploreKitchen_1_5.button1,{qst:CONTINUE}
EventExploreKitchen_1_6.button1,{qst:CONTINUE}
EventExploreKitchen_1_2.button2,{qst:CONTINUE}
EventExploreKitchen_1_1.button2,{qst:CONTINUE}
EventExploreKitchen_1_3.button2,{qst:CONTINUE}
EventExploreKitchen_1_4.button2,{qst:CONTINUE}
EventExploreKitchen_1_5.button2,{qst:CONTINUE}
EventExploreKitchen_1_6.button2,{qst:CONTINUE}
EventExploreKitchen_Fail.button1,{qst:CONTINUE}
EventExploreKitchen_Success.button1,{qst:CONTINUE}
EventQuestTurnOffLight.button1,{qst:CONTINUE}
EventQuestTurnOffLightKeroseneLantern.button1,{qst:CONTINUE}
EventQuestTurnOffLightLantern.button1,{qst:CONTINUE}
EventQuestInstruction.button1,{qst:CONTINUE}
EventQuestRemoveInitialDarknessUI.button1,{qst:CONTINUE}
EventBoardAddTileGarden.button1,{qst:CONTINUE}
TokenInteractionYard_1.button1,{qst:CONTINUE}
EventBoardAddInteractionYard_1.button1,{qst:CONTINUE}
EventExploreKitchenKeroseneLantern.button1,{qst:CONTINUE}
EventExploreKitchenLantern.button1,{qst:CONTINUE}
EventBoardAddSearchYard_1.button1,{qst:CONTINUE}
EventBoardAddSearchYard_3.button1,{qst:CONTINUE}
EventBoardAddTileLibrary.button1,{qst:CONTINUE}
EventBoardAddTileOffice.button1,{qst:CONTINUE}
EventBoardAddSearchLibrary_1.button1,{qst:CONTINUE}
EventBoardAddDarknessLibrary.button1,{qst:CONTINUE}
EventBoardAddSearchOffice_1.button1,{qst:CONTINUE}
EventBoardAddSearchOffice_2.button1,{qst:CONTINUE}
EventBoardAddDarknessOffice.button1,{qst:CONTINUE}
EventBoardAddTileLivingRoom.button1,{qst:CONTINUE}
EventBoardAddSearchLivingRoom_1.button1,{qst:CONTINUE}
EventBoardAddSearchLivingRoom_2.button1,{qst:CONTINUE}
EventBoardAddSearchLivingRoom_3.button1,{qst:CONTINUE}
EventBoardAddExploreLivingRoom.button1,{qst:CONTINUE}
EventBoardAddDarknessLivingRoom.button1,{qst:CONTINUE}
EventBoardAddTileLivingCorridor.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_2.button2,{qst:CONTINUE}
EventBoardAddSearchLivingCorridor_1.button1,{qst:CONTINUE}
EventBoardAddExploreLivingCorridor_1.button1,{qst:CONTINUE}
EventBoardAddExploreLivingCorridor_2.button1,{qst:CONTINUE}
EventBoardAddDarknessLivingCorridor.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_1.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_1.button2,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_Fail.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_2.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_Success.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_2.button2,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_3.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_3.button2,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_4.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor_4.button2,{qst:CONTINUE}
EventBoardAddTileBilliardsRoom.button1,{qst:CONTINUE}
EventBoardAddSearchBilliards_1.button1,{qst:CONTINUE}
EventBoardAddSearchBilliards_2.button1,{qst:CONTINUE}
EventBoardAddDarknessBilliards.button1,{qst:CONTINUE}
EventBoardAddDarknessYard.button1,{qst:CONTINUE}
EventBoardAddTileBathRoom.button1,{qst:CONTINUE}
EventBoardAddSearchBathRoom_1.button1,{qst:CONTINUE}
EventBoardAddExploreBathRoom_1.button1,{qst:CONTINUE}
EventBoardAddExploreBathRoom_2.button1,{qst:CONTINUE}
EventBoardAddDarknessBathRoom_1.button1,{qst:CONTINUE}
EventExploreBathRoom.button1,{qst:CONTINUE}
EventBoardAddSearchBathRoom_2.button1,{qst:CONTINUE}
EventBoardAddSearchBathRoom_3.button1,{qst:CONTINUE}
EventBoardAddDarknessBathRoom_2.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_1.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_1.button2,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_2.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_Strength_Fail.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_Strength_Success.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_3.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_3.button2,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_Influence_Fail.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_Influence_Success.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_4.button1,{qst:CONTINUE}
EventExploreTryOpenBathRoom_1_4.button2,{qst:CONTINUE}
EventBoardAddTileBedRoom.button1,{qst:CONTINUE}
EventHistoryAddInteractionLibrary.button1,{qst:CONTINUE}
EventBoardAddSearchBedRoom_1.button1,{qst:CONTINUE}
EventBoardAddSearchBedRoom_2.button1,{qst:CONTINUE}
EventBoardAddSearchBedRoom_3.button1,{qst:CONTINUE}
EventBoardAddDarknessBedRoom.button1,{qst:CONTINUE}
EventQuestDefinitions.button1,{qst:CONTINUE}
EventEndDeadInvestigatorTrigger.button1,{qst:CONTINUE}
EventFireEvaluation.button1,{qst:CONTINUE}
EventFireCounterIncrease.button1,{qst:CONTINUE}
EventMythosDecreaseTimer.button1,{qst:CONTINUE}
EventMythosTimerEvaluation.button1,{qst:CONTINUE}
EventDifficultyEvaluation.button1,{qst:CONTINUE}
EventMythosQuestEvaluation.button1,{qst:CONTINUE}
EventMythosEvaluateDelayCounter.button1,{qst:CONTINUE}
EventHistoryPuzzleBox.button1,{qst:CONTINUE}
EventExploreTryOpenLivingCorridorDoor.button1,{qst:CONTINUE}
EventHistoryAddInteractionOffice.button1,{qst:CONTINUE}
EventHistoryAddInteractionBilliards.button1,{qst:CONTINUE}
EventHistorySearchHall_1_Whiskey.button1,{qst:CONTINUE}
EventHistorySearchServiceCorridor_1_OilLamp.button1,{qst:CONTINUE}
EventHistorySearchHall_1_Machete.button1,{qst:CONTINUE}
EventHistorySearchYard_3_Machete.button1,{qst:CONTINUE}
EventHistorySearchHall_1_Clue.button1,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_1.button1,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_1.button2,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_Fail.button1,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_Success_1.button1,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_Success_2.button1,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_2.button1,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_2.button2,{qst:CONTINUE}
EventHistorySearchHall_2_Clue_Nothing.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_1.button2,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_2.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_Fail.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_Success_1.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_Success_2.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Shrilevling_2.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_2.button2,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_3.button2,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_3.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Shrilevling_1.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Nothing.button1,{qst:CONTINUE}
EventHistoryAddRitual1_1stRitual.button1,{qst:CONTINUE}
EventHistoryNonRitualKitchen.button1,{qst:CONTINUE}
EventHistoryRitual1_GainItem.button1,{qst:CONTINUE}
EventHistoryRitual1Kitchen.button1,{qst:CONTINUE}
EventHistoryRitual2Kitchen.button1,{qst:CONTINUE}
EventHistoryRitual1BathRoom.button1,{qst:CONTINUE}
EventHistoryRitual2BathRoom.button1,{qst:CONTINUE}
EventHistoryRitual1Billiards.button1,{qst:CONTINUE}
EventHistoryRitual2Billiards.button1,{qst:CONTINUE}
EventHistoryRitual1LivingRoom.button1,{qst:CONTINUE}
EventHistoryRitual2LivingRoom.button1,{qst:CONTINUE}
EventHistoryRitual2Yard.button1,{qst:CONTINUE}
EventHistoryRitual1Yard.button1,{qst:CONTINUE}
EventHistoryRitual2Office.button1,{qst:CONTINUE}
EventHistoryRitual1Office.button1,{qst:CONTINUE}
EventHistoryRitual1ServiceCorridor.button1,{qst:CONTINUE}
EventHistoryRitual2ServiceCorridor.button1,{qst:CONTINUE}
EventHistoryRitual1LivingCorridor.button1,{qst:CONTINUE}
EventHistoryRitual2LivingCorridor.button1,{qst:CONTINUE}
EventHistoryAddRitual1_2ndRitual.button1,{qst:CONTINUE}
EventHistorySearchKitchen2_ElderWard.button1,{qst:CONTINUE}
EventHistorySearchKitchen2_Nothing.button1,{qst:CONTINUE}
EventHistorySearchKitchen2_Clue.button1,{qst:CONTINUE}
EventHistoryNonRitualKitchen_Nothing.button1,{qst:CONTINUE}
EventHistoryNonRitualKitchen_Clue.button1,{qst:CONTINUE}
EventHistoryInteractionKitchen.button1,{qst:CONTINUE}
EventHistorySearchKitchen_1_Knife.button1,{qst:CONTINUE}
EventHistoryRitualKitchen0.button1,{qst:CONTINUE}
EventHistorySearchKitchen_1_MeatCleaver.button1,{qst:CONTINUE}
EventBoardAddInteractionBox.button1,{qst:CONTINUE}
EventHistorySafeBox.button1,{qst:CONTINUE}
EventHistorySearchKitchen2_ElderSignPendant.button1,{qst:CONTINUE}
EventHistorySearchKitchen_1_LeadPipe.button1,{qst:CONTINUE}
EventHistorySearchKitchen_1_Nothing.button1,{qst:CONTINUE}
EventHistoryAddRitual1Yard_1stRitual.button1,{qst:CONTINUE}
EventHistoryNonRitualYard.button1,{qst:CONTINUE}
EventHistoryNonRitualYard_Clue.button1,{qst:CONTINUE}
EventHistoryNonRitualYard_45Automatic.button1,{qst:CONTINUE}
EventHistoryNonRitualYard_FleshWard.button1,{qst:CONTINUE}
EventHistoryNonRitualYard_Nothing.button1,{qst:CONTINUE}
EventHistorySearchHall_3_Clue_1.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Axe.button1,{qst:CONTINUE}
EventHistoryNonRitualYard_2x4.button1,{qst:CONTINUE}
EventHistorySearchYard_2_LeadPipe.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Machete.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Clue_1.button2,{qst:CONTINUE}
EventHistorySearchYard_2_Clue_2.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Clue_Fail.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Clue_1.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Clue_Success.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Clue_2.button2,{qst:CONTINUE}
EventHistorySearchYard_1_CigarretCase.button1,{qst:CONTINUE}
EventHistorySearchYard_1_ArcaneManuscript.button1,{qst:CONTINUE}
EventHistorySearchYard_1_18Delinger.button1,{qst:CONTINUE}
EventHistorySearchYard_1_Knife.button1,{qst:CONTINUE}
EventHistorySearchYard_1_Clue.button1,{qst:CONTINUE}
EventHistorySearchLirary_1_ArcaneManuscript.button1,{qst:CONTINUE}
EventHistorySearchLibrary_1_MedicalTextbook.button1,{qst:CONTINUE}
EventHistorySearchLibrary_1_FleshWard.button1,{qst:CONTINUE}
EventHistorySearchLibrary_1_Shrileving.button1,{qst:CONTINUE}
EventHistorySearchLibrary_1_Wither.button1,{qst:CONTINUE}
EventHistorySearchLibrary_1_Wrack.button1,{qst:CONTINUE}
EventHistorySearchServiceCorridor_1_KeroseneLantern.button1,{qst:CONTINUE}
EventHistorySearchServiceCorridor_1_MeatCleaver.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_1.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_1.button2,{qst:CONTINUE}
EventHistorySearchOffice_2_Fail.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_2.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_2.button2,{qst:CONTINUE}
EventHistorySearchOffice_2_Success.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_LuckyCigarretCase.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_MedicalTextbook.button1,{qst:CONTINUE}
EventHistorySearchOffice_2_Clue.button1,{qst:CONTINUE}
EventHistorySearchOffice_1_Sledgehammer.button1,{qst:CONTINUE}
EventHistorySearchOffice_1_CarbineRifle.button1,{qst:CONTINUE}
EventHistorySearchOffice_1_Shotgun.button1,{qst:CONTINUE}
EventHistorySearchOffice_1_45Automatic.button1,{qst:CONTINUE}
EventHistorySearchOffice_1_Clue.button1,{qst:CONTINUE}
EventHistorySearchBathroom_2_KeroseneLantern.button1,{qst:CONTINUE}
EventHistorySearchBathroom_2_OilLamp.button1,{qst:CONTINUE}
EventHistorySearchBathroom_2_2x4.button1,{qst:CONTINUE}
EventHistorySearchBathroom_2_Nothing.button1,{qst:CONTINUE}
EventHistorySearchYard_2_Nothing.button1,{qst:CONTINUE}
EventHistorySearchYard_1_Nothing.button1,{qst:CONTINUE}
EventHistorySearchServiceCorridor_1_Nothing.button1,{qst:CONTINUE}
EventHistorySearchLirary_1_Nothing.button1,{qst:CONTINUE}
EventHistorySearchOffice_1_Nothing.button1,{qst:CONTINUE}
EventHistorySearchBathRoom_1_Nothing.button1,{qst:CONTINUE}
EventHistorySearchBathRoom_1_Clue.button1,{qst:CONTINUE}
EventHistorySearchBathRoom_1_38Revolver.button1,{qst:CONTINUE}
EventHistorySearchBathRoom_1_Shriveling.button1,{qst:CONTINUE}
EventHistorySearchBathRoom_3_Nothing.button1,{qst:CONTINUE}
EventHistorySearchBathRoom_3_Clue.button1,{qst:CONTINUE}
EventHistorySearchBathroom_3_ElderWard.button1,{qst:CONTINUE}
EventHistorySearchLivingCorridor_1_Nothing.button1,{qst:CONTINUE}
EventHistorySearchLivingCorridor_1_OilLamp.button1,{qst:CONTINUE}
EventHistorySearchLivingCorridor_1_KeroseLantern.button1,{qst:CONTINUE}
EventHistorySearchLivingCorridor_1_45Automatic.button1,{qst:CONTINUE}
EventHistorySearchLivingCorridor_1_Axe.button1,{qst:CONTINUE}
EventHistorySkeletons.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_Action_P1.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_Action_P2.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_RoomNotShown.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_Office.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_BilliardsRoom.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_Library.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_Hall.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_LivingRoom.button1,{qst:CONTINUE}
EventHistoryGrotesqueStone_Kitchen.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_2_Clue.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_2_FleshWard.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_2_Wither.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_2_ElderWard.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_2_ElderSignPendant.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_3_Nothing.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_3_Clue.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_3_ElderSignPendant.button1,{qst:CONTINUE}
EventHistorySearchBedRoom_3_Shriveling.button1,{qst:CONTINUE}
EventHistorySearchBilliards_2_LeadPipe.button1,{qst:CONTINUE}
EventHistorySearchBilliars_2_Sledgehammer.button1,{qst:CONTINUE}
EventHistorySearchBilliars_2_Machete.button1,{qst:CONTINUE}
EventHistorySearchBilliars_2_Clue.button1,{qst:CONTINUE}
EventHistorySearchBilliars_2_Nothing.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_18Delinger.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_38Revolver.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_45Automatic.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_CarbineRifle.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_Shotgun.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_Knife.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_Clue.button1,{qst:CONTINUE}
EventHistorySearchBilliards_1_Whiskey.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_1_OilLamp.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_1_KeroseneLantern.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_1_Nothing.button1,{qst:CONTINUE}
EventDifficultyLevel3.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_3_Clue.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_3_Wrack.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_2_ArcaneManuscript.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_2_MedicalTextbook.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_2_LuckyCigarretCase.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_2_KeroseneLantern.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_2_Clue.button1,{qst:CONTINUE}
EventQuestOldJournal.button1,{qst:CONTINUE}
EventHistoryRitualYard0.button1,{qst:CONTINUE}
EventHistoryRitualServiceCorridor0.button1,{qst:CONTINUE}
EventHistoryNonRitualServiceCorridor.button1,{qst:CONTINUE}
EventHistoryRitualLivingCorridor0.button1,{qst:CONTINUE}
EventHistoryNonRitualLivingCorridor.button1,{qst:CONTINUE}
EventHistoryRitualBathRoom0.button1,{qst:CONTINUE}
EventHistoryNonRitualBathRoom.button1,{qst:CONTINUE}
EventHistoryRitualOffice0.button1,{qst:CONTINUE}
EventHistoryNonRitualOffice.button1,{qst:CONTINUE}
EventHistoryRitualBilliards0.button1,{qst:CONTINUE}
EventHistoryNonRitualBilliards.button1,{qst:CONTINUE}
EventHistoryRitualLivingRoom0.button1,{qst:CONTINUE}
EventHistoryNonRitualLivingRoom.button1,{qst:CONTINUE}
EventHistorySearchLivingRoom_1_Whiskey.button1,{qst:CONTINUE}
EventDifficultyLevel4.button1,{qst:CONTINUE}
EventDifficultyLevel5.button1,{qst:CONTINUE}
EventDifficultyLevel6.button1,{qst:CONTINUE}
EventDifficultyLevel7.button1,{qst:CONTINUE}
EventMythosCallSpawn.button1,{qst:CONTINUE}
EventMythosCallSpawn_MonsterLevel1.button1,{qst:CONTINUE}
EventMythosCallSpawn_MonsterLevel2.button1,{qst:CONTINUE}
EventMythosCallSpawn_Loop.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_Hall.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_Kitchen.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_Library.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_ServiceCorridor.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_Office.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_BathRoom.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_BedRoom.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_LivingCorridor.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_BilliardsRoom.button1,{qst:CONTINUE}
EventMythosSpawnPlaceMonster_LivingRoom.button1,{qst:CONTINUE}
SpawnMonster_level3_DeepOneHybrid.button1,{qst:CONTINUE}
SpawnMonster_level3_DeepOne.button1,{qst:CONTINUE}
SpawnGhost_level3_Spirit.button1,{qst:CONTINUE}
EventMythosCallSpawn_MonsterLevel1_SetLimit_1.button1,{qst:CONTINUE}
EventMythosCallSpawn_MonsterLevel3.button1,{qst:CONTINUE}
EventMythosCallSpawn_MonsterLevel1_SetLimit_3.button1,{qst:CONTINUE}
EventMythosCallSpawn_MonsterLevel1_SetLimit_N.button1,{qst:CONTINUE}
EventMythosEvaluateMaxTurns.button1,{qst:CONTINUE}
EventBoardAddSearchYard_4.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Agility_5.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Agility_5.button2,{qst:CONTINUE}
EventHistorySearchYard_4_Agility_4.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Success.button1,{qst:CONTINUE}
TokenHistoryInteractionDoorlock.button1,{qst:CONTINUE}
EventHistoryInteractionDoorlock_NoKey.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_Nothing.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_Horror.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_Damage.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_Clue.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_DamageSafe.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_HorrorSafe.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_AddDice.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Agility_4.button2,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_LoseItem.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_LightSource.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Fail_BreakItem.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Agility_3.button1,{qst:CONTINUE}
EventHistorySearchYard_4_Agility_3.button2,{qst:CONTINUE}
EventHistoryBoxOpened.button1,{qst:CONTINUE}
EventHistoryGoToTheCaves.button1,{qst:CONTINUE}
EventBoardAddCultists.button1,{qst:CONTINUE}
EventHistoryAddInteractionCaves.button1,{qst:CONTINUE}
EventHistoryFinalObjective.button1,{qst:CONTINUE}
EventHistoryRitualInterrupt_8_2.button1,{qst:CONTINUE}
EventHistoryRitualInterrupt_Fail.button1,{qst:CONTINUE}
EventHistoryRitualInterrupt_Success.button1,{qst:CONTINUE}
